sigla_uf,id_municipio,ano,populacao_atendida_agua,populacao_atendida_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
PE,2601706,2005,68195,2499,3595848.78,3595848.78,0.0,228233.69,0.0,3824082.47,,3306430.0,1269947.09,710059.84,16,263713.42,1514983.77,1044426.68,4808572.98,66992.09,5860962.74,692068.27,0.0,321350.31,142222.79,954038.96,151106.61,52969.76,66992.09,0.0,,,,,52607.29,0.0,695361.79,0.0,185170.23,0.0,510191.56,747969.08,,,,,,,,,,,,,,
PE,2604106,2005,251966,111111,20974707.85,16183356.29,4791351.56,1625976.14,0.0,22600683.99,,21259950.0,7914933.5,2364472.6,47,957594.08,9193102.81,3980678.41,21323702.21,,22502471.86,2664820.46,0.0,1431705.25,633642.2,3396149.06,,235995.05,298468.45,,,,,,234380.13,1290374.94,0.0,0.0,863393.17,289259.94,137721.83,1524755.07,,,,,,,,,,,,,,
PE,2607901,2004,435750,103068,25896323.62,23732867.23,2163456.39,2221995.93,0.0,28118319.55,,24673040.0,19050100.0,4205499.64,116,188321.72,2012391.02,4965679.26,12543142.32,368884.63,19973821.43,6778262.74,0.0,1077267.9,283531.74,93982.78,0.0,288959.01,368884.63,0.0,,,,,551715.0,0.0,0.0,0.0,0.0,0.0,0.0,551715.0,,,,,,,,,,,,,,
PE,2611606,2002,1504255,561649,109044494.32,67690860.0,41353634.32,,,118191214.32,,95519990.0,90956760.0,9026077.07,328,3387709.6,3920012.53,6853204.55,25008854.52,940520.96,40492750.01,2930154.02,,1821850.77,2993775.64,,7205825.13,662112.17,940520.96,0.0,,,,,1413619.74,14672771.0,5541768.0,1373742.0,363564.0,3936107.0,17288610.0,23001900.74,,,,,,,,,,,,,,
SE,2803500,2002,55070,3921,2803421.91,2667819.07,135602.84,134399.55,0.0,2937821.46,,2448720.0,1892888.8,683184.8,19,74147.16,561638.8,341834.13,1991903.61,0.0,2137305.45,145401.84,0.0,61092.48,0.0,270006.24,0.0,0.0,0.0,0.0,,,,,0.0,28413.87,4027.0,0.0,0.0,0.0,32440.87,32440.87,,,,,,,,,,,,,,
PE,2604502,2022,14733,13400,2661313.82,2661313.82,0.0,35964.28,0.0,2697278.1,0.0,2525094.59,1908902.74,999200.8,12,69939.44,234351.72,205021.66,1732651.58,68964.53,1966158.24,140304.88,0.0,122844.86,23085.28,101293.1,1151.97,101520.49,68964.53,0.0,170485.02,0.0,0.0,0.0,40768.27,1714514.21,0.0,3822.93,40768.27,118983.13,1599354.01,1759105.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2607208,2022,68157,20470,18685204.23,15602460.39,3082743.84,236038.51,0.0,18921242.74,0.0,15521495.65,16902347.82,3875151.99,26,1783768.57,2025701.7,4956948.31,14065765.93,339367.8,19217833.09,4713872.38,0.0,753901.05,91592.3,670294.31,7234.68,712160.13,339367.8,0.0,1051527.93,0.0,,,285986.94,8731223.53,4553357.9,222330.55,285986.94,12835144.64,671767.34,13792898.92,,,,,,,,0.0,,,0.0,,,
PE,2610202,2022,18420,14396,3243130.68,3243130.68,0.0,28928.52,0.0,3272059.2,0.0,3207277.97,1159543.6,1383310.15,23,53980.16,104084.68,282804.04,2183611.61,35546.12,2445279.55,189410.15,0.0,136391.76,27834.87,223040.82,8876.8,123154.18,35546.12,0.0,158700.3,0.0,0.0,,49455.85,2855476.61,0.0,4180.71,49455.85,130118.57,2729538.75,2909113.17,0.0,40000.0,0.0,40000.0,0.0,0.0,40000.0,0.0,,,0.0,,,
AL,2702405,2020,51932,4200,13873386.01,13873386.0,0.01,500108.15,0.0,14373494.23,0.0,16664536.85,18646739.43,5234877.43,37,157752.35,3725243.78,4611026.19,13786607.67,76162.5,16083202.28,104556.07,0.0,13468.0,1252496.13,44239.92,863379.91,0.0,27162.5,49000.0,76162.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2706604,2020,5297,1655,1579905.19,1414823.28,165081.91,16431.43,0.0,1596336.62,0.0,1700280.79,2224003.3,675552.01,5,4562.5,72123.84,116409.9,868648.25,0.0,1054816.88,169.8,0.0,0.0,167674.59,0.0,18324.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2709103,2018,8210,500,1777060.57,1774060.57,2400.0,74842.52,0.0,1851903.09,600.0,1851568.41,2734002.86,1169203.55,9,28733.49,234229.92,132109.92,1646805.16,563.87,3370522.79,1563087.2,0.0,81378.28,1370.0,1150.0,158696.56,3824.99,563.87,0.0,4388.86,0.0,10000.0,0.0,0.0,0.0,0.0,1310.49,1310.49,0.0,0.0,1310.49,5000.0,5000.0,0.0,14000.0,3000.0,3000.0,20000.0,,,0.0,,0.0,0.0,
PE,2600104,2019,37259,4424,7787709.17,7488325.21,299383.96,248397.48,0.0,8036106.65,0.0,7746673.5,745877.28,2874032.34,26,263935.07,1706615.72,5556622.81,11979717.93,115150.48,12654205.91,150829.99,0.0,743040.88,0.0,835471.11,408507.51,519805.68,114997.94,152.54,634956.16,0.0,,0.0,110578.12,82206.55,513640.31,0.0,192784.67,0.0,513640.31,706424.98,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2614303,2019,5662,1695,531038.16,531038.16,0.0,70105.5,0.0,601143.66,0.0,495995.22,484607.29,481658.82,6,15000.0,31807.01,176633.05,942847.2,8613.87,1005273.65,16585.15,0.0,67174.49,0.0,170573.83,37227.43,127213.01,8602.46,11.41,135826.88,0.0,0.0,0.0,27061.99,7845.03,0.0,0.0,34907.02,0.0,0.0,34907.02,0.0,10000.0,0.0,15000.0,0.0,,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2615409,2021,37574,36258,4647791.45,4647791.45,0.0,225188.38,0.0,4872979.83,0.0,4320743.76,1461724.59,490964.71,5,29539.41,665761.02,2026148.13,4519931.71,83745.01,5066061.52,172624.11,0.0,214053.49,105833.89,1093464.95,183926.8,246539.17,83579.85,165.16,330284.18,0.0,0.0,0.0,70634.6,612744.4,69285.45,0.0,325319.7,190268.3,237076.45,752664.45,0.0,80810.0,0.0,80810.0,0.0,0.0,80810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,2804102,2021,7677,6985,1436732.5,1436732.5,0.0,129899.3,0.0,1566631.8,0.0,1624519.03,0.0,616300.67,16,68625.75,284778.74,60714.7,1277600.33,0.0,1294758.56,17158.23,0.0,192180.47,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,20000.0,0.0,20000.0,,,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2700607,2016,7094,591,4723720.22,4675008.78,48711.44,241043.37,0.0,4964763.59,0.0,3919830.49,5656337.43,1070222.18,10,25435.39,224646.5,250989.33,1856620.76,1309772.78,3166393.54,,0.0,281267.35,0.0,4060.01,,16539.35,1303032.71,6740.07,1326312.13,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2702306,2013,50609,6975,1497312.31,1497312.31,0.0,35999.99,0.0,1533312.3,0.0,1533312.3,650000.0,459680.38,7,17890.0,418626.08,422907.01,1634769.37,0.0,1637769.37,956.23,17890.0,111137.9,0.0,186638.0,2043.77,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
AL,2705200,2014,12348,12000,1147956.46,1147956.46,0.0,75377.93,0.0,1223334.39,0.0,1244667.74,1887912.95,101455.62,2,13532.88,121362.31,142078.77,399154.96,355027.23,1325208.48,552303.71,0.0,20473.58,18470.79,251.8,251.79,58877.57,241180.83,113846.4,413904.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2600104,2016,36866,36866,6667676.64,6667676.64,0.0,248404.01,0.0,6916080.65,0.0,6296111.59,698748.25,2828066.14,35,320412.56,532186.84,1117028.73,6218886.86,313261.7,6877058.01,24107.44,0.0,644018.24,0.0,777174.35,320802.01,286671.9,294920.07,18341.63,599933.6,0.0,82500.0,0.0,71614.08,97580.93,626774.13,0.0,180863.48,0.0,615105.66,795969.14,0.0,82500.0,100000.0,265000.0,0.0,0.0,265000.0,9936.17,0.0,0.0,0.0,0.0,9936.17,9936.17
PE,2601102,2012,45029,33247,4701459.05,4701459.05,0.0,281384.78,0.0,4982843.83,0.0,4524772.95,2462762.73,397421.14,25,173957.75,949377.33,752361.37,2892928.14,169947.6,3065964.22,3088.48,0.0,460764.23,0.0,159046.32,0.0,86827.89,149163.46,20784.14,256775.49,0.0,208126.25,0.0,110597.49,29028.79,0.0,0.0,110597.49,29028.79,0.0,139626.28,0.0,0.0,0.0,208126.25,0.0,0.0,208126.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2601805,2015,5691,3878,828733.86,828733.86,0.0,41274.98,0.0,870008.84,0.0,732300.84,169663.71,238424.92,8,5161.36,21135.24,210799.2,566224.85,38849.69,640652.54,3141.46,0.0,80001.9,0.0,10702.23,32436.54,32789.72,34648.63,4201.06,71639.41,0.0,0.0,0.0,8347.15,445627.09,0.0,0.0,115291.29,0.0,338682.95,453974.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2607208,2015,52777,10918,49988527.57,41805765.43,8182762.14,248313.28,0.0,50236840.85,0.0,7436658.27,3962903.05,3924560.67,45,1517642.3,2340698.06,3059924.44,14730290.22,2232197.94,19631201.58,805064.83,0.0,2634459.94,0.0,1253004.81,1863648.59,1884008.77,1990816.56,241381.38,4116206.71,0.0,,0.0,479604.33,24598846.62,4692718.56,0.0,6218577.99,212898.4,23339693.12,29771169.51,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2615003,2015,8630,23000,185050.02,170050.02,15000.0,14781.78,0.0,199831.8,0.0,242511.61,471906.53,496062.3,6,47996.56,5000.0,37066.81,698144.02,8208.9,713664.67,457.96,0.0,22404.03,0.0,89614.32,6853.79,6928.43,7321.22,887.68,15137.33,0.0,0.0,0.0,1763.75,522862.07,0.0,0.0,17221.56,0.0,507404.26,524625.82,150000.0,160000.0,80000.0,,,,390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,2802106,2016,66780,3014,6940734.72,6940734.72,0.0,595383.86,0.0,7536118.58,0.0,7539985.87,1465727.48,3654631.68,92,3530.52,1029664.95,1923762.0,6707911.08,0.0,6708323.16,412.08,0.0,95616.21,0.0,705.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419823.36,191900.32,185696.51,0.0,234126.85,611723.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SE,2803500,2016,84082,6355,14903968.49,13649712.44,1254256.05,1537657.03,0.0,16441625.52,0.0,15930356.39,11066856.13,5530145.12,58,1833741.88,2903496.81,2275456.26,13718483.07,0.0,14225892.54,507409.47,0.0,1047748.73,0.0,127894.27,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1565430.29,18217509.22,0.0,902190.45,0.0,18880749.06,19782939.51,,,,,,,,,,,,,,
AL,2702405,2010,42042,27708,4246471.23,4246471.23,0.0,305821.57,0.0,4552292.8,0.0,4154391.23,3338807.85,2050686.38,60,129841.49,1853679.22,1475760.19,6683555.73,2750605.59,9836420.32,267652.29,0.0,621781.86,13327.81,551806.59,121278.9,121278.89,2684451.71,66153.88,2871884.48,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
PE,2613701,2011,66360,8697,7005013.68,6289609.82,715403.86,176204.19,0.0,7181217.87,0.0,6061585.98,10349360.28,1422818.83,51,983022.84,418670.12,293380.39,4034059.69,331234.82,4620043.46,254748.95,0.0,690454.33,0.0,225713.18,0.0,144860.15,301160.87,30073.95,476094.97,0.0,,,120075.29,192500.88,0.0,0.0,181341.09,0.0,131235.08,312576.17,,,,,,,,,,,,,,
PE,2616407,2007,87265,27447,7966574.74,6009583.0,1956991.74,131993.69,0.0,8098568.43,0.0,6957482.9,3669766.1,1794259.57,44,401891.3,3406826.16,1879152.11,8991916.89,89761.77,10724062.47,1486264.53,0.0,498163.42,156119.28,1011624.33,0.0,101789.59,89761.77,0.0,,0.0,,,126497.36,0.0,93734.98,0.0,93734.98,0.0,0.0,220232.34,,,,,,,,,,,,,,
SE,2805604,2011,24959,1246,2536368.21,2536368.21,0.0,142798.45,0.0,2679166.66,0.0,2153689.8,3241464.22,712071.99,15,79222.36,1330067.2,97000.99,2300321.44,0.0,2454725.75,154404.31,0.0,803.41,0.0,81155.49,0.0,0.0,0.0,0.0,0.0,0.0,33500.0,,0.0,0.0,135356.42,0.0,34838.75,0.0,100517.67,135356.42,0.0,37970.0,0.0,,,,71470.0,0.0,0.0,,,,,
SE,2806701,2011,42654,14956,4689262.16,4106878.3,582383.86,143206.96,0.0,4832469.12,0.0,4682816.57,3782948.01,4212760.63,40,359657.8,686495.78,2319064.95,9409669.2,0.0,9409669.2,0.0,0.0,634072.05,0.0,1197617.99,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
PE,2607901,2002,580579,102287,17146460.0,15795640.0,1350820.0,,,17279880.0,,16486810.0,17435830.0,3026635.4,35,421484.65,2258550.19,1680326.76,7929080.18,249043.07,15841274.21,829599.87,,542083.18,792729.88,,5750020.8,175322.46,249043.07,0.0,,,,,290800.41,245101.46,23000.0,,23000.0,,245101.46,,,,,,,,,,,,,,,
PE,2616407,2004,85898,27607,5348232.5,4195331.28,1152901.22,255568.42,0.0,5603800.92,,4691450.0,3628600.0,1101664.56,36,116948.1,1010167.49,1120412.13,3694143.14,80123.66,5307816.93,1472273.94,0.0,313652.4,61276.19,31298.46,0.0,62449.11,80123.66,0.0,,,,,108618.59,2900772.29,0.0,0.0,2900772.29,0.0,0.0,3009390.88,,,,,,,,,,,,,,
AL,2707107,2001,7008,6124,802118.92,660452.02,141666.9,18563.08,,820682.0,,444652.0,1379782.67,236953.47,8,32150.65,110642.9,221962.21,614454.12,33369.0,781290.12,133467.0,,,,,0.0,18834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,2609600,2001,363795,151591,8269414.07,8261526.37,7887.7,1000798.22,,9270212.29,,15704190.0,8911192.06,1609247.38,65,345889.45,2608676.21,3156505.3,8011735.56,175969.74,8894695.16,420587.53,0.0,291417.22,61126.02,0.0,0.0,142520.33,,,,,,,225276.31,1225084.12,501770.0,29462.14,179744.11,0.0,1576572.15,1981592.57,,,,,,,,,,,,,,
PE,2609600,2022,349976,154425,104322803.76,67851294.16,36471509.6,558994.24,0.0,104881798.0,0.0,87409459.17,117262522.3,8942658.44,60,9409784.16,16403427.74,43393719.74,87285741.52,2312070.79,101707807.78,10951521.14,0.0,4523881.72,1091133.74,4612269.72,67340.59,3947554.4,2312070.79,0.0,6259625.19,0.0,,,1585246.03,37068946.39,18731984.78,65273.66,1585246.03,26820329.16,29045875.67,57451450.86,,,,,,,,0.0,,,0.0,,,
PE,2611002,2022,34161,5876,7324998.34,7324998.34,0.0,191772.42,0.0,7516770.76,0.0,7545562.45,1864992.09,872114.93,17,122222.35,723578.12,743844.18,3028060.96,59798.11,3382465.02,192724.72,0.0,316750.82,71158.96,249550.56,30722.27,282917.17,59798.11,0.0,342715.28,0.0,0.0,0.0,113612.95,1835048.68,0.0,6398.65,113612.95,290841.74,1550605.59,1955060.28,26314.7,63254.7,3872.08,0.0,0.0,93441.48,93441.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2615409,2022,37706,40375,5101469.3,5101469.3,0.0,175349.51,0.0,5276818.81,0.0,4709143.84,4551001.57,610354.03,5,0.0,715952.31,2364072.5,4497377.29,268386.79,5199978.58,338228.1,0.0,242427.95,75294.18,564570.5,20692.22,198609.57,268386.79,0.0,466996.36,0.0,0.0,0.0,79756.99,9160989.57,122.67,7531.5,79756.99,2631828.01,6536815.73,9248400.73,0.0,80907.68,0.0,80907.68,0.0,0.0,80907.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2709152,2018,38500,27500,2629748.6,2629748.6,0.0,0.0,0.0,2629748.6,0.0,2629748.6,2075595.13,604765.55,29,262064.4,360973.89,1001139.79,2256999.38,0.0,2256999.38,0.0,0.0,28055.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2601201,2018,73844,3715,12685430.88,12384302.57,301128.31,1083413.65,0.0,13768844.53,0.0,12139915.31,3339479.23,2884768.23,31,221516.89,2954907.4,2827011.9,11052581.86,263512.13,12029819.17,0.0,0.0,1277338.0,0.0,887039.44,713725.18,763863.95,263512.13,0.0,1027376.08,0.0,,0.0,148898.14,12787827.82,0.0,0.0,511925.79,0.0,12424800.17,12936725.96,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2603454,2018,124222,2237,17712169.1,17407160.29,305008.81,496338.42,0.0,18208507.52,0.0,17096207.43,10348184.39,3791343.75,36,10449.14,1841306.98,1895842.12,13777598.15,348479.69,15972775.14,128389.21,0.0,1677807.26,0.0,4560848.9,1718308.09,1010166.28,348479.69,0.0,1358645.97,0.0,,0.0,196909.25,256238.58,1423364.9,0.0,1876512.73,0.0,0.0,1876512.73,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2604304,2019,9469,6721,1116172.27,1116172.27,0.0,39190.97,0.0,1155363.24,0.0,1114338.21,134828.42,365963.12,4,0.0,197973.56,85950.96,762491.36,16555.36,859789.37,11115.64,0.0,106603.72,0.0,6000.0,69627.01,17871.0,16533.43,21.93,34426.36,0.0,40344.0,0.0,3801.69,3926.34,0.0,0.0,7728.03,0.0,0.0,7728.03,0.0,0.0,0.0,0.0,,,40344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2605459,2019,3061,2074,3701267.51,2693549.21,1007718.3,695942.35,0.0,4397209.86,0.0,4332175.34,189884.09,221079.41,2,4775.28,329212.89,511983.37,1741992.31,63008.23,2153171.84,83177.07,0.0,406016.79,0.0,268924.57,264994.23,0.0,62924.76,83.47,63008.23,0.0,,0.0,0.0,396124.6,0.0,0.0,396124.6,0.0,0.0,396124.6,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2612000,2018,10103,9800,1209711.14,1209711.14,0.0,50567.12,0.0,1260278.26,0.0,2062946.26,288023.25,2451227.6,28,2790.72,227795.94,67330.39,2946982.67,24119.57,3120908.44,30773.87,0.0,116406.15,0.0,81431.87,119032.33,69917.35,24119.57,0.0,94036.92,0.0,0.0,0.0,13628.82,1137115.2,0.0,0.0,13628.82,0.0,1137115.2,1150744.02,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2613701,2018,85585,17049,13350662.5,11629960.53,1720701.97,404968.87,0.0,13755631.37,0.0,12738558.67,7494706.89,3491343.75,36,265077.39,1229343.02,1734440.06,10002428.17,263259.25,11713753.76,148857.27,0.0,1265741.94,0.0,2016482.01,1299209.07,763130.92,263259.25,0.0,1026390.17,0.0,,0.0,148755.25,1503477.48,16408644.33,0.0,17667259.48,0.0,393617.58,18060877.06,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2616407,2021,109211,38822,27498650.62,20758962.96,6739687.66,303372.21,0.0,27802022.83,0.0,24343080.22,10271464.56,6594294.06,46,2306467.29,6599266.12,11342290.24,31466062.28,515752.7,35693356.04,1723274.65,0.0,1190895.25,599337.93,3432849.32,1388928.48,1406590.56,514735.49,1017.21,1922343.26,0.0,0.0,0.0,402994.64,1025180.27,109146.0,0.0,1459342.74,,77978.17,1537320.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2701407,2016,51011,13820,1501829.71,1486829.71,15000.0,46480.99,0.0,1548310.7,0.0,1823536.76,899052.43,695984.82,37,42409.19,884088.87,111563.38,1781425.79,196465.92,1977891.71,,0.0,45413.03,,1966.5,0.0,2480.91,195454.91,1011.01,198946.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,100000.0,80000.0,65000.0,245000.0,0.0,0.0,245000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2704302,2016,982548,411972,241318278.92,167832838.44,73485440.48,21392433.62,0.0,262710712.54,0.0,215955763.04,297656576.62,111456691.48,768,1680463.94,14506714.42,41718181.22,213956634.98,61133644.21,282632094.13,7497029.18,0.0,43398357.07,44785.76,1196226.85,0.0,771974.04,60819051.56,314592.65,61905618.25,0.0,,8513961.51,0.0,16620423.96,0.0,0.0,16620423.96,,,16620423.96,,,,,,,,6879622.57,0.0,0.0,15393584.08,0.0,0.0,15393584.08
AL,2706307,2015,64202,2369,9794812.11,9605958.21,188853.9,995097.42,0.0,10789909.53,0.0,10423878.52,11059951.86,4297140.45,43,509956.52,2350624.79,1919797.65,9848908.67,2973967.53,12902008.23,14159.89,0.0,720577.0,0.0,50812.26,64972.14,129214.3,2512224.7,461742.83,3103181.83,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0
PE,2600609,2016,6276,7934,10225.0,10225.0,0.0,0.0,0.0,10225.0,0.0,17481.59,216083.54,292279.26,4,600.0,17954.54,168864.9,513536.28,49.15,513658.16,22.58,0.0,65.7,0.0,33771.88,50.15,44.98,46.27,2.88,94.13,0.0,0.0,0.0,11.24,119400.99,0.0,0.0,1823.97,0.0,117588.26,119412.23,0.0,30000.0,0.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2616001,2016,9487,11200,113660.86,113660.86,0.0,11309.71,0.0,124970.57,0.0,89430.53,411167.94,397928.68,5,39943.53,85337.04,486325.62,1087885.75,5660.51,1099380.19,35.96,0.0,13171.93,0.0,65178.95,5797.97,5180.04,5329.08,331.43,10840.55,0.0,0.0,0.0,1294.04,373841.76,8762678.87,0.0,1363585.84,104224.51,7670004.32,9137814.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9936.17,0.0,0.0,0.0,0.0,9936.17,9936.17
AL,2704302,2010,812235,320595,104473481.74,78395436.5,26078045.24,14563492.36,0.0,119036974.1,0.0,96363202.91,4693473.94,29819960.97,695,1018212.52,10876171.05,26837978.23,77694130.33,19760543.9,100344531.09,1922832.86,0.0,4466924.61,95747.96,4674882.95,871276.04,871276.04,19285289.75,475254.15,20631819.94,0.0,,,0.0,7394591.28,0.0,0.0,7394591.28,0.0,0.0,7394591.28,,,,,,,,,,,,,,
AL,2704302,2009,766282,295328,96011512.65,70548462.03,25463050.62,9810824.34,0.0,105822336.99,0.0,116944206.35,15282607.34,48143509.26,646,899125.49,12583623.3,20423423.61,90014271.43,40550991.27,135342972.32,2187380.22,0.0,3289706.82,67342.98,4674882.95,2522986.42,2522986.42,39544649.63,1006341.64,43073977.69,0.0,0.0,,0.0,1812057.27,0.0,0.0,1812057.27,0.0,0.0,1812057.27,650850.56,,,,,,,,,,,,,
PE,2600104,2011,29132,21925,2620654.31,2620654.31,0.0,19472.44,0.0,2640126.75,0.0,2639738.96,721918.7,3366613.04,37,257498.49,512879.26,4207468.92,9331006.05,121776.27,9452782.32,0.0,0.0,248780.99,0.0,737765.35,0.0,53256.87,110719.78,11056.49,175033.14,0.0,0.0,,44144.88,70717.45,0.0,0.0,44144.88,0.0,70717.45,114862.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
PE,2606507,2007,18400,7000,283928.97,283928.97,0.0,0.0,0.0,283928.97,0.0,283928.97,60423.63,118892.03,30,0.0,62884.34,73810.0,255586.37,0.0,255586.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,291703.76,15999.95,0.0,0.0,0.0,307703.71,307703.71,,,,,,,,,,,,,,
PE,2606804,2009,75194,872,8345217.79,7690774.38,654443.41,531295.08,0.0,8876512.87,0.0,4112235.93,3271244.91,2015125.58,73,2263442.4,757112.01,1333335.74,7909608.42,49841.8,19256620.56,11206955.96,0.0,821094.54,90214.38,719498.15,0.0,83145.25,48132.25,1709.55,132987.05,0.0,,,124906.06,3845732.13,25979.73,0.0,228605.69,0.0,3768012.23,3996617.92,,,,,,,,,,,,,,
PE,2616407,2010,92738,30792,10717814.61,8328835.08,2388979.53,71910.21,0.0,10789724.82,0.0,9809557.35,9814763.85,8697235.13,45,219710.53,2717585.58,3018843.3,16801547.04,272759.19,18520281.36,1445975.13,0.0,1027030.07,0.0,1121142.43,0.0,147939.63,269418.61,3340.58,420698.82,0.0,,,467027.05,49802.37,403324.53,0.0,920153.95,0.0,0.0,920153.95,,,,,,,,,,,,,,
PE,2611903,2005,7661,2323,547043.09,451658.09,95385.0,47877.41,0.0,594920.5,,587380.0,369083.86,21798.89,1,11823.01,83611.58,83690.89,364615.16,9316.48,491714.54,80440.73,0.0,44689.66,19778.69,119001.13,17563.48,7366.42,9316.48,0.0,,,,,7316.01,0.0,22851.93,0.0,6085.32,0.0,16766.61,30167.94,,,,,,,,,,,,,,
PE,2616407,2005,87906,27875,5996035.32,4676147.32,1319888.0,321755.05,0.0,6317790.37,,5471090.0,2463469.07,1525669.64,22,696476.01,2491330.21,2010862.34,8046651.78,110305.49,9541402.88,944127.93,0.0,529117.72,234176.21,793195.86,206141.47,87217.09,110305.49,0.0,,,,,86620.25,3053628.46,0.0,0.0,2225474.77,0.0,828153.69,3140248.71,,,,,,,,,,,,,,
