sigla_uf,id_municipio,ano,populacao_atendida_agua,populacao_atendida_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
PE,2614105,2019,21310,19022,2773310.05,2773310.05,0.0,412767.02,0.0,3186077.07,0.0,2276165.1,1692181.84,4478835.73,40,245130.26,3834013.46,1374573.67,10534169.54,45653.74,10808424.75,36595.15,0.0,293843.97,0.01,307772.45,192006.31,0.0,45593.26,60.48,45653.74,0.0,0.0,0.0,0.0,2831156.02,0.0,0.0,656799.02,0.0,2174357.0,2831156.02,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2616407,2017,108271,41563,22674012.11,17274257.41,5399754.7,507754.48,0.0,23181766.59,0.0,20373559.77,7680027.95,5608618.58,55,838320.74,3007381.56,4513348.92,16131486.12,843278.07,19043587.22,100312.26,0.0,1742850.33,0.0,420965.99,1968510.77,1257897.41,843278.07,0.0,2101175.48,0.0,0.0,0.0,20441.33,307736.81,55398.41,0.0,328178.14,0.0,55398.41,383576.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,2803005,2020,24186,13542,5268797.27,5268797.27,0.0,315398.89,0.0,5584196.16,0.0,5109764.18,4336990.08,4253257.35,31,283319.61,1080023.76,952248.83,7577571.86,69339.18,8761467.89,726929.14,0.0,552143.06,29922.41,456579.25,0.0,391137.12,67743.33,1595.85,460476.3,0.0,655852.65,0.0,0.0,131331.61,0.0,0.0,0.0,0.0,131331.61,131331.61,17010.0,483878.0,0.0,1156740.65,0.0,0.0,1156740.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,2803708,2021,6027,2353,1188846.08,1188846.08,0.0,55809.86,0.0,1244655.94,0.0,1265314.23,0.0,383394.29,8,53966.95,222885.96,100721.21,934449.53,0.0,951332.84,16883.31,0.0,152683.33,0.0,20797.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2701308,2015,17230,2032,1559490.24,1489848.96,69641.28,231932.5,0.0,1791422.74,0.0,1791422.74,70919.3,900171.76,30,181726.9,135557.1,413240.94,1762243.83,0.0,1791422.74,0.0,0.0,64361.03,7996.01,67186.1,21182.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2708303,2013,20800,11100,1662664.0,1187664.0,475000.0,3000.0,0.0,1665664.0,0.0,1150310.0,3500.0,338400.0,23,201971.0,170837.0,170000.0,1049696.0,3000.0,1060000.0,3000.0,0.0,158488.0,3500.0,10000.0,804.0,0.0,3000.0,0.0,3000.0,0.0,75000.0,0.0,,,,,,,,,60000.0,0.0,0.0,135000.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2601102,2016,55541,35936,7973715.68,7665499.38,308216.3,349305.34,0.0,8323021.02,0.0,7027809.15,2590640.45,2756015.71,33,112810.85,821752.77,1204319.17,6411892.73,362317.51,7222888.13,77564.78,0.0,737563.43,0.0,779430.8,371113.11,331563.85,341103.64,21213.87,693881.36,0.0,308216.3,0.0,82828.62,27789.69,0.0,0.0,110618.31,0.0,0.0,110618.31,0.0,15687.0,0.0,323903.3,0.0,0.0,323903.3,4968.08,0.0,0.0,0.0,0.0,4968.08,4968.08
PE,2603454,2013,120493,2448,13435394.95,13243728.97,191665.98,439547.09,0.0,13874942.04,0.0,11919574.67,21151658.34,2639017.08,35,122723.1,1259437.63,472301.36,6740665.02,499525.57,7538264.3,53.61,0.0,1278030.41,0.0,969155.44,298020.1,350550.77,297965.17,201560.4,850076.34,0.0,,,102374.63,0.0,0.0,0.0,102374.63,0.0,0.0,102374.63,,,,,,,,,,,,,,
PE,2604304,2014,8390,6666,725149.63,725149.63,0.0,21729.0,0.0,746878.63,0.0,734244.92,61519.35,193340.76,3,11852.14,126689.85,53402.11,469667.05,28653.94,523589.02,67.67,0.0,68886.69,0.0,15495.5,25200.36,30383.39,26405.75,2248.19,59037.33,0.0,29692.0,,6964.14,1444417.79,0.0,0.0,1451381.93,0.0,0.0,1451381.93,0.0,0.0,0.0,,,,29692.0,,0.0,,,,0.0,
PE,2609501,2013,27013,3427,3375216.58,3008632.66,366583.92,123681.92,0.0,3498898.5,0.0,3152933.04,2236998.67,1885012.2,25,226113.8,252294.37,458603.61,3145081.94,100729.12,3305724.37,195.77,0.0,323057.96,0.0,0.0,59717.54,70688.41,60084.55,40644.57,171417.53,0.0,,,20643.8,39486.0,5549891.35,0.0,60129.8,5549891.35,0.0,5610021.15,,,,,,,,,,,,,,
